"","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency"
"227",129,129,"Ryan Tannehill","QB","MIA",5,67,187,132.8297872,20.7726489,157,18,0.260593734822729
"228",130,130,"Seattle Seahawks","DST","SEA",4,103,205,131.1555556,16.65860546,58,18,NA
"229",131,131,"Ladarius Green","TE","SD",10,92,186,136.787234,20.82034211,154,18,0.511658485273492
"230",132,132,"Jordan Matthews","WR","PHI",7,105,190,137.2826087,23.01763317,174,18,NA
"231",133,133,"Carson Palmer","QB","ARI",4,85,166,134.627907,17.90676533,155,18,0.259807991696938
"232",134,134,"Jonathan Stewart","RB","CAR",12,78,176,137.6,20.854416,186,18,0.31174885889365
"233",135,135,"Ahmad Bradshaw","RB","IND",10,98,185,139.0869565,21.00913475,177,18,0.32960672190454
"234",136,136,"Jarrett Boykin","WR","GB",9,101,185,133.3809524,19.119863,159,18,0.605534454693434
"235",137,137,"LeGarrette Blount","RB","PIT",12,82,183,137.5909091,22.99141953,146,18,0.583534440606319
"236",138,138,"Kenny Stills","WR","NO",6,82,180,136.2142857,21.47150461,166,18,0.565964657467926
"237",139,139,"Heath Miller","TE","PIT",12,83,201,139.2325581,20.10187682,152,18,0.400689999168677
"238",140,140,"Aaron Dobson","WR","NE",10,81,197,136.6,22.66473031,207,18,0.479965899403239
"239",141,141,"Doug Baldwin","WR","SEA",4,96,178,139.15,20.42369947,173,18,0.488039751419693
"240",142,142,"Kenny Britt","WR","STL",4,71,200,137.8461538,28.97615152,193,18,0.677399489751033
"241",143,143,"Steve Smith","WR","BAL",11,100,188,146.9318182,21.05555177,144,19,0.408223335921507
"242",144,144,"Khiry Robinson","RB","NO",6,69,195,138.6315789,25.20382286,135,18,0.575167037861916
"243",145,145,"Tavon Austin","WR","STL",4,101,188,141.6052632,24.00607322,148,18,0.587840898794962
"244",146,146,"Danny Amendola","WR","NE",10,93,196,144.025641,28.09369596,143,18,0.454286763355976
"245",147,147,"James Jones","WR","OAK",5,93,183,143,24.9082527,167,18,0.397690798858773
"246",148,148,"Christine Michael","RB","SEA",4,93,242,147.5,26.59699231,153,19,0.236286919831224
"247",149,149,"Alex Smith","QB","KC",6,106,192,147.8292683,18.76673554,151,19,0.520446190898721
"248",150,150,"Antonio Gates","TE","SD",10,104,175,152.452381,12.53794694,137,19,0.416023510670438
"249",151,151,"Delanie Walker","TE","TEN",9,128,199,153.6190476,15.6356619,190,19,0.583390536335346
"250",152,152,"Eli Manning","QB","NYG",8,91,186,149.1578947,17.55671459,163,19,0.296729404981312
"251",153,153,"Andrew Hawkins","WR","CLE",4,110,189,152.0769231,21.36902217,232,19,0.502360484053848
"252",154,154,"Marqise Lee","WR","JAC",11,104,198,153.4102564,26.14821458,201,19,NA
"253",155,155,"Josh McCown","QB","TB",7,111,206,153.5897436,21.81826799,178,19,0.401778401778402
"254",156,156,"Lance Dunbar","RB","DAL",11,109,189,150.3888889,21.55262008,214,19,0.480505795574289
"255",157,157,"Marvin Jones","WR","CIN",4,77,255,152.3333333,36.02328091,172,19,0.51959121363752
"256",158,158,"San Francisco 49ers","DST","SF",8,112,206,158.7179487,21.5845965,82,19,NA
"257",159,159,"Joe Flacco","QB","BAL",11,120,194,157.8947368,15.95188402,149,19,0.265404472525704
"258",160,160,"Dwayne Allen","TE","IND",10,101,193,156.0555556,18.26950167,219,19,0.327109011735184
"259",161,161,"Knile Davis","RB","KC",6,123,199,161.4615385,20.65323735,183,19,0.702069572875385
"260",162,162,"Tyler Eifert","TE","CIN",4,131,219,161.2368421,19.84470526,241,19,0.474446902654867
